soma_jogador,carta_dealer,as_utilizavel,true_count,q_hit,q_stick,melhor_acao
12,1,1,-2,-0.3053919736911448,-0.4282294208572788,hit
12,1,1,-1,-0.3037894370189626,-0.281206300519759,stick
12,1,1,0,-0.24000236461031793,-0.4012630607616211,hit
12,1,1,1,-0.22504520663284935,-0.27991555311416505,hit
12,1,1,2,-0.30650602627493617,-0.40275990310971704,hit
12,2,0,-2,-0.1687890979152033,-0.5049842287833346,hit
12,2,0,-1,-0.44170945103824305,-0.4479723342804923,hit
12,2,0,0,-0.24100893709020763,-0.62361118984538,hit
12,2,0,1,-0.26195935203998444,-0.5555697327961315,hit
12,2,0,2,-0.32319311024623426,-0.5397360758185653,hit
12,2,1,-2,0.09232178549756853,0.028716264653974116,hit
12,2,1,-1,0.18613938380417536,-0.26490810937500003,hit
12,2,1,0,-0.020769618283067448,-0.174658109375,hit
12,2,1,1,-0.01787750634284451,-0.1447684375,hit
12,2,1,2,0.03492913700221681,-0.222639870062077,hit
12,3,0,-2,-0.22858646774392694,-0.5792393259075933,hit
12,3,0,-1,-0.08224979849632923,-0.4429854912370909,hit
12,3,0,0,-0.41502523989096546,-0.41284528124574615,stick
12,3,0,1,-0.48512449535282076,-0.22226103352266208,stick
12,3,0,2,-0.12465927849335269,-0.43486013931969086,hit
12,3,1,-2,0.036987152237777016,0.04760579650031083,stick
12,3,1,-1,0.05777248935188822,-0.08903373482021486,hit
12,3,1,0,0.16924676419681012,-0.24094990772354008,hit
12,3,1,1,0.1105426019210429,-0.069908109375,hit
12,3,1,2,0.22425846116776396,-0.16307037964843749,hit
12,4,0,-2,-0.3698794721281508,-0.38826314150639357,hit
12,4,0,-1,-0.18975116300518857,-0.5804286495016061,hit
12,4,0,0,-0.4588699104635182,-0.46434849898503416,hit
12,4,0,1,-0.2511606706923789,-0.3455206072962878,hit
12,4,0,2,-0.04278891713487355,-0.38827392679358796,hit
12,4,1,-2,0.08595842484786924,-0.23752020000936488,hit
12,4,1,-1,0.13061709758260515,0.0454815625,hit
12,4,1,0,0.12122392036231194,-0.1605920687109375,hit
12,4,1,1,-0.008454026592763578,-0.0975,hit
12,4,1,2,0.11086826191240522,-0.2518844079542312,hit
12,5,0,-2,-0.17335365424940863,-0.45441935961447616,hit
12,5,0,-1,-0.3633954132052061,0.08152267438261437,stick
12,5,0,0,-0.4971787437146286,-0.4087326254946585,stick
12,5,0,1,-0.2652224984582464,-0.2858328663607578,hit
12,5,0,2,-0.337153903670494,-0.32335583698549947,stick
12,5,1,-2,0.12313051965675761,-0.19074407798004134,hit
12,5,1,-1,0.14627773233901956,0.014666860666015594,hit
12,5,1,0,0.1018642336794697,-0.029701920249657954,hit
